seed,step,eval_return
20,28000,238.6
20,29000,129.2
20,30000,410.4
20,31000,314.8
20,32000,400.0
20,33000,362.8
20,34000,166.6
20,35000,408.4
20,36000,423.6
20,37000,173.8
20,38000,311.2
20,39000,221.4
20,40000,337.2
20,41000,442.8
20,42000,431.2
20,43000,164.4
20,44000,231.6
20,45000,237.6
20,46000,416.2
20,47000,469.4
20,48000,256.4
20,49000,196.4
20,50000,339.0
21,1000,13.4
21,2000,44.6
21,3000,43.2
21,4000,61.0
21,5000,51.0
21,6000,80.8
21,7000,106.6
21,8000,185.4
21,9000,142.0
21,10000,158.0
21,11000,231.6
21,12000,324.8
21,13000,228.8
21,14000,328.6
21,15000,211.8
21,16000,277.6
21,17000,249.2
21,18000,194.8
21,19000,209.4
21,20000,277.2
21,21000,276.0
21,22000,276.2
21,23000,400.0
21,24000,369.4
21,25000,283.0
21,26000,364.2
21,27000,387.8
21,28000,486.8
21,29000,385.0
21,30000,500.0
21,31000,490.4
21,32000,470.8
21,33000,500.0
21,34000,444.8
21,35000,433.2
21,36000,429.4
21,37000,436.6
21,38000,500.0
21,39000,465.6
21,40000,373.8
21,41000,500.0
21,42000,471.4
21,43000,470.8
21,44000,500.0
21,45000,383.4
21,46000,420.6
21,47000,488.8
21,48000,500.0
21,49000,500.0
21,50000,452.0
22,1000,28.8
22,2000,40.4
22,3000,102.2
22,4000,144.2
22,5000,134.6
22,6000,128.4
22,7000,79.2
22,8000,91.0
22,9000,177.4
22,10000,181.0
22,11000,134.6
22,12000,165.2
22,13000,172.0
22,14000,175.2
22,15000,140.2
22,16000,201.0
22,17000,294.8
22,18000,211.8
22,19000,333.8
22,20000,145.6
22,21000,136.2
22,22000,105.2
22,23000,182.6
22,24000,266.0
22,25000,276.0
22,26000,410.4
22,27000,336.4
22,28000,399.6
22,29000,384.6
22,30000,390.8
22,31000,262.6
22,32000,340.8
22,33000,385.4
22,34000,369.8
22,35000,397.6
22,36000,308.2
22,37000,353.8
22,38000,390.8
22,39000,311.2
22,40000,466.4
22,41000,343.4
22,42000,289.8
22,43000,408.4
22,44000,489.6
22,45000,442.8
22,46000,490.4
22,47000,468.4
22,48000,487.0
22,49000,344.0
22,50000,482.8
23,1000,21.8
23,2000,34.2
23,3000,78.2
23,4000,73.4
23,5000,55.6
23,6000,104.0
23,7000,131.4
23,8000,120.6
23,9000,120.4
23,10000,146.4
23,11000,104.4
23,12000,209.4
23,13000,181.2
23,14000,183.4
23,15000,144.6
23,16000,364.2
23,17000,253.0
23,18000,339.0
23,19000,195.6
23,20000,167.4
23,21000,241.0
23,22000,357.8
23,23000,364.8
23,24000,306.6
23,25000,274.4
23,26000,426.2
23,27000,368.0
23,28000,149.6
23,29000,255.6
23,30000,334.0
23,31000,430.2
23,32000,424.6
23,33000,358.4
23,34000,440.6
23,35000,477.6
23,36000,243.6
23,37000,447.4
23,38000,459.4
23,39000,448.6
23,40000,392.2
23,41000,474.0
23,42000,447.0
23,43000,486.2
23,44000,500.0
23,45000,422.2
23,46000,494.4
23,47000,442.6
23,48000,500.0
23,49000,473.8
23,50000,500.0
24,1000,19.0
24,2000,33.4
24,3000,33.2
24,4000,39.6
24,5000,42.4
24,6000,61.0
24,7000,102.4
24,8000,98.2
24,9000,100.4
24,10000,133.0
24,11000,180.4
24,12000,190.2
24,13000,173.0
24,14000,234.6
24,15000,135.0
24,16000,91.4
24,17000,90.4
24,18000,128.0
24,19000,140.0
24,20000,255.8
24,21000,136.6
24,22000,124.8
24,23000,116.4
24,24000,150.4
24,25000,179.4
24,26000,120.6
24,27000,126.4
24,28000,208.2
24,29000,191.6
24,30000,89.0
24,31000,53.2
24,32000,72.4
24,33000,89.4
24,34000,167.2
24,35000,189.8
24,36000,127.0
24,37000,191.4
24,38000,218.2
24,39000,289.6
24,40000,194.4
24,41000,156.6
24,42000,163.0
24,43000,205.4
24,44000,289.4
24,45000,151.4
24,46000,233.4
24,47000,373.2
24,48000,467.4
24,49000,379.6
24,50000,364.0
25,1000,53.2
25,2000,48.0
25,3000,36.6
25,4000,37.4
25,5000,35.8
25,6000,43.4
25,7000,65.4
25,8000,96.6
25,9000,110.6
25,10000,127.2
25,11000,152.2
25,12000,177.2
25,13000,102.4
25,14000,210.2
25,15000,196.8
25,16000,141.2
25,17000,130.4
25,18000,204.0
25,19000,148.2
25,20000,210.4
25,21000,215.4
25,22000,316.8
25,23000,215.6
25,24000,352.6
25,25000,315.0
25,26000,270.2
25,27000,228.8
25,28000,344.2
25,29000,337.8
25,30000,287.2
25,31000,406.4
25,32000,308.6
25,33000,345.6
25,34000,426.2
25,35000,482.4
25,36000,500.0
25,37000,486.4
25,38000,457.0
25,39000,423.8
25,40000,437.2
25,41000,482.4
25,42000,409.0
25,43000,491.0
25,44000,432.6
25,45000,445.8
25,46000,434.0
25,47000,297.4
25,48000,384.0
25,49000,407.4
25,50000,490.2
26,1000,39.0
26,2000,26.4
26,3000,62.0
26,4000,71.4
26,5000,93.2
26,6000,66.6
26,7000,79.4
26,8000,102.4
26,9000,126.2
26,10000,116.4
26,11000,98.0
26,12000,238.4
26,13000,337.4
26,14000,216.8
26,15000,291.2
26,16000,253.0
26,17000,166.8
26,18000,177.0
26,19000,204.8
26,20000,250.8
26,21000,302.6
26,22000,195.6
26,23000,285.8
26,24000,175.8
26,25000,139.2
26,26000,181.6
26,27000,311.2
26,28000,124.2
26,29000,82.2
26,30000,146.8
26,31000,253.8
26,32000,334.2
26,33000,380.0
26,34000,233.2
26,35000,174.4
26,36000,185.4
26,37000,347.0
26,38000,322.0
26,39000,222.2
26,40000,342.4
26,41000,422.0
26,42000,265.2
26,43000,446.2
26,44000,437.4
26,45000,408.0
26,46000,257.8
26,47000,418.6
26,48000,388.2
26,49000,457.0
26,50000,381.0
27,1000,18.4
27,2000,26.8
27,3000,67.6
27,4000,38.4
27,5000,89.0
27,6000,131.2
27,7000,115.8
27,8000,121.2
27,9000,107.8
27,10000,205.4
27,11000,139.0
27,12000,142.2
27,13000,160.4
27,14000,164.2
27,15000,251.0
27,16000,248.6
27,17000,272.4
27,18000,291.4
27,19000,283.0
27,20000,148.6
27,21000,119.2
27,22000,215.6
27,23000,363.4
27,24000,310.0
27,25000,249.4
27,26000,129.0
27,27000,199.2
27,28000,300.0
27,29000,178.0
27,30000,171.6
27,31000,389.0
27,32000,283.8
27,33000,345.8
27,34000,391.4
27,35000,317.4
27,36000,344.6
27,37000,362.2
27,38000,265.8
27,39000,107.8
27,40000,193.6
27,41000,290.8
27,42000,342.4
27,43000,167.6
27,44000,70.2
27,45000,136.0
27,46000,398.6
